year,month,issues_time_to_close_hours,date
2015,8,1.201111111111111,2015-08-01
2015,9,21.651818181818182,2015-09-01
2015,10,202.97677777777776,2015-10-01
2015,11,1199.6774691358025,2015-11-01
2015,12,49.55796296296297,2015-12-01
2016,1,18.762182539682538,2016-01-01
2016,2,63.29911111111111,2016-02-01
2016,3,1388.1530555555557,2016-03-01
2016,4,53.62659722222222,2016-04-01
2016,5,62.713055555555556,2016-05-01
2016,6,31.009722222222223,2016-06-01
2016,7,1430.8300000000002,2016-07-01
2016,9,0.3819444444444444,2016-09-01
2016,10,353.0627777777778,2016-10-01
2016,11,408.78430555555553,2016-11-01
2016,12,1299.3999537037037,2016-12-01
2017,1,1234.3684027777776,2017-01-01
2017,3,343.61354166666666,2017-03-01
2017,4,38.39888888888889,2017-04-01
2017,5,174.23197916666666,2017-05-01
2017,6,348.3956944444445,2017-06-01
2017,7,341.85982026143796,2017-07-01
2017,8,6755.447863247863,2017-08-01
2017,9,169.87904320987656,2017-09-01
2017,10,128.752,2017-10-01
2017,11,330.68640151515154,2017-11-01
2017,12,402.0747083333334,2017-12-01
2018,1,2317.1463034188037,2018-01-01
2018,2,254.73493055555556,2018-02-01
2018,3,1900.289722222222,2018-03-01
2018,4,2054.345478395062,2018-04-01
2018,5,293.89200396825396,2018-05-01
2018,6,500.2602380952381,2018-06-01
2018,7,393.56214052287584,2018-07-01
2018,8,930.5772368421052,2018-08-01
2018,9,2909.5370987654323,2018-09-01
2018,10,1875.9495899470899,2018-10-01
2018,11,489.2433680555555,2018-11-01
2018,12,1876.651581196581,2018-12-01
2019,1,661.902798611111,2019-01-01
2019,2,1661.8740238095238,2019-02-01
2019,3,2581.9356828703703,2019-03-01
2019,4,1822.9060714285713,2019-04-01
2019,5,849.27425,2019-05-01
2019,6,17.96361111111111,2019-06-01
2021,12,1481.7411111111112,2021-12-01
2022,1,596.9996180555556,2022-01-01
2022,2,1792.088611111111,2022-02-01
2022,3,1437.865,2022-03-01
2022,4,2816.435,2022-04-01
2022,5,914.4012037037036,2022-05-01
2022,6,966.5242361111111,2022-06-01
2022,7,1793.8926010101009,2022-07-01
2022,8,298.33503086419756,2022-08-01
2022,9,961.8486965811965,2022-09-01
2022,10,473.8233333333333,2022-10-01
2022,11,1133.257048611111,2022-11-01
2022,12,724.6748456790124,2022-12-01
2023,1,2210.290709876543,2023-01-01
2023,2,1338.4251388888888,2023-02-01
2023,3,1804.6855555555558,2023-03-01
2023,4,3091.5256481481483,2023-04-01
2023,5,2424.1974305555555,2023-05-01
2023,6,910.3496875,2023-06-01
2023,7,1437.7456944444446,2023-07-01
2023,9,579.3288492063492,2023-09-01
2023,10,83.62923611111113,2023-10-01
2023,11,3432.441222222222,2023-11-01
2023,12,43.96564814814815,2023-12-01
