year,month,issues_time_to_first_response_hours,date
2015,8,1.1861111111111111,2015-08-01
2015,9,11.37219696969697,2015-09-01
2015,10,14.015222222222224,2015-10-01
2015,11,5.561388888888889,2015-11-01
2015,12,50.330000000000005,2015-12-01
2016,1,13.2409126984127,2016-01-01
2016,2,15.9625,2016-02-01
2016,3,0.45233333333333337,2016-03-01
2016,4,11.272152777777778,2016-04-01
2016,5,24.058576388888884,2016-05-01
2016,6,0.2527083333333333,2016-06-01
2016,7,343.89701388888886,2016-07-01
2016,9,0.3772222222222222,2016-09-01
2016,10,2.3341666666666665,2016-10-01
2016,11,133.41458333333335,2016-11-01
2016,12,1286.8111574074076,2016-12-01
2017,1,117.60166666666666,2017-01-01
2017,3,144.11340277777776,2017-03-01
2017,4,3.895666666666666,2017-04-01
2017,5,138.45371527777777,2017-05-01
2017,6,23.575805555555554,2017-06-01
2017,7,211.14132352941178,2017-07-01
2017,8,151.2704700854701,2017-08-01
2017,9,16.128487654320985,2017-09-01
2017,10,385.82509259259257,2017-10-01
2017,11,130.85170454545457,2017-11-01
2017,12,154.22994444444444,2017-12-01
2018,1,337.29064102564104,2018-01-01
2018,2,169.3215625,2018-02-01
2018,3,42.35918981481481,2018-03-01
2018,4,315.24637345679014,2018-04-01
2018,5,55.61128968253968,2018-05-01
2018,6,18.845357142857143,2018-06-01
2018,7,15.478415032679736,2018-07-01
2018,8,129.8903216374269,2018-08-01
2018,9,178.81765432098766,2018-09-01
2018,10,116.12343915343916,2018-10-01
2018,11,206.11142361111112,2018-11-01
2018,12,133.88207264957265,2018-12-01
2019,1,119.34255555555555,2019-01-01
2019,2,148.0814126984127,2019-02-01
2019,3,1365.9055169753087,2019-03-01
2019,4,42.34503968253968,2019-04-01
2019,5,125.43078703703705,2019-05-01
2019,6,17.96361111111111,2019-06-01
2021,12,0.0361111111111111,2021-12-01
2022,1,90.458125,2022-01-01
2022,2,162.98097222222222,2022-02-01
2022,3,0.42016666666666663,2022-03-01
2022,4,272.39969444444444,2022-04-01
2022,5,84.4599074074074,2022-05-01
2022,6,280.44097222222223,2022-06-01
2022,7,199.09638888888887,2022-07-01
2022,8,5.674907407407407,2022-08-01
2022,9,46.198076923076925,2022-09-01
2022,10,89.96927083333333,2022-10-01
2022,11,247.18829861111112,2022-11-01
2022,12,130.44570987654322,2022-12-01
2023,1,296.4021944444445,2023-01-01
2023,2,77.55954861111111,2023-02-01
2023,3,10.03669191919192,2023-03-01
2023,4,436.44350694444444,2023-04-01
2023,5,170.52844444444446,2023-05-01
2023,6,386.6769097222222,2023-06-01
2023,7,3.0416666666666665,2023-07-01
2023,9,11469.649861111111,2023-09-01
2023,10,0.05048611111111105,2023-10-01
2023,11,3252.486875,2023-11-01
2023,12,96.89349206349208,2023-12-01
