year,month,issues_time_to_first_response_hours
2015,8,1.1861111111111111
2015,9,1.3419444444444444
2015,10,2.4145833333333333
2015,11,0.12638888888888888
2015,12,3.3533333333333335
2016,1,0.10916666666666666
2016,2,0.3377777777777778
2016,3,0.18722222222222223
2016,4,6.49625
2016,5,1.0602777777777777
2016,6,0.27305555555555555
2016,7,300.6023611111111
2016,9,0.37722222222222224
2016,10,2.3341666666666665
2016,11,133.41458333333335
2016,12,0.07444444444444445
2017,1,0.032916666666666664
2017,3,143.87375
2017,4,4.013888888888889
2017,5,0.4552777777777778
2017,6,14.356388888888889
2017,7,68.00888888888889
2017,8,43.06444444444445
2017,9,1.8425
2017,10,24.29138888888889
2017,11,39.83180555555556
2017,12,53.4675
2018,1,67.32305555555556
2018,2,27.227638888888887
2018,3,20.830277777777777
2018,4,117.77111111111111
2018,5,39.28916666666667
2018,6,11.91
2018,7,1.4897222222222222
2018,8,13.658333333333333
2018,9,98.35916666666667
2018,10,21.819444444444443
2018,11,95.41458333333333
2018,12,10.097222222222221
2019,1,4.972916666666666
2019,2,41.02444444444444
2019,3,365.49430555555557
2019,4,12.161944444444444
2019,5,28.455416666666665
2019,6,18.437916666666666
2021,12,0.03611111111111111
2022,1,0.4920833333333333
2022,2,162.98097222222222
2022,3,0.26861111111111113
2022,4,17.073194444444447
2022,5,0.9158333333333334
2022,6,205.85347222222222
2022,7,0.38861111111111113
2022,8,0.7669444444444444
2022,9,0.39111111111111113
2022,10,2.7504166666666663
2022,11,1.4852777777777777
2022,12,0.6552777777777777
2023,1,149.03166666666667
2023,2,10.104027777777777
2023,3,1.0172222222222222
2023,4,47.04986111111111
2023,5,0.12111111111111111
2023,6,8.83361111111111
2023,7,3.0416666666666665
2023,9,2.1998611111111113
2023,10,0.041666666666666664
2023,11,25.858888888888888
