users,thread,thread_internal,thread_external,contribution,contribution_internal,contribution_external
kondoh2,100,0,1,0,0,0
syohex,57,0,8,0,0,0
syouji,58,0,1,0,0,0
kitsukawa,78,9,7,31,10,21
h-ohta,69,13,0,17,10,7
TomohitoAndo,56,5,0,5,4,1
manato,34,17,1,19,17,2
ghost,5,0,2,0,0,0
amc-nu,142,56,7,119,72,47
KenYN,4,0,2,0,0,0
kuriking,31,0,2,0,0,0
yukkysaito,37,8,1,21,8,13
travelbureau,1,1,1,1,1,0
pdsljp,5,0,2,0,0,0
KenjiroYamada,1,0,0,0,0,0
garaemon,1,1,0,1,1,0
tushar-dadlani,2,0,1,0,0,0
messi49,12,2,0,4,3,1
sujiwo,7,0,5,0,0,0
mingrutar,1,0,1,0,0,0
wgcv,1,0,0,0,0,0
droter,1,0,1,0,0,0
hatem-darweesh,9,6,4,9,6,3
jitrc,2,0,1,0,0,0
yk-fujii,46,0,10,0,0,0
anhnv3991,9,2,2,1,1,0
YamatoAndo,36,10,2,14,10,4
dejanpan,15,0,4,0,0,0
alexandrx,26,11,9,12,11,1
yn-mrse,16,5,1,6,5,1
jdclzl,1,0,0,0,0,0
deepmeng,2,0,0,0,0,0
christopherho-ApexAI,3,0,1,0,0,0
hiro-ya-iv,4,0,1,0,0,0
asimay,4,3,0,10,3,7
130s,2,0,1,0,0,0
hakuturu583,28,15,0,17,13,4
chinhyuntai,1,0,0,0,0,0
aohsato,31,28,2,32,24,8
colinsung,1,0,0,0,0,0
andoh104,11,0,4,0,0,0
annaborn,2,0,1,0,0,0
geogrewang,1,0,1,0,0,0
huiyi1990,3,0,0,0,0,0
ChenxiTU,7,0,3,0,0,0
ckirksey3,2,2,1,2,2,0
yukitsuji,5,1,0,2,1,1
daifuku07,2,0,0,0,0,0
n-patiphon,1,1,1,1,1,0
shinpei0208,4,0,1,16,3,13
ompugao,3,3,1,3,3,0
MasatoTange,2,0,0,0,0,0
gchen2016,1,0,0,0,0,0
brianabrams,1,0,0,0,0,0
mktk1117,1,0,0,0,0,0
LukeAI,2,0,0,0,0,0
kfunaoka,46,26,3,44,32,12
mitsudome-r,17,8,2,15,11,4
TheodoreRTG,2,0,0,0,0,0
esteve,68,55,16,58,46,12
moelang,1,0,0,0,0,0
k0suke-murakami,25,0,13,0,0,0
sgermanserrano,60,0,21,0,0,0
harderthan,1,0,1,0,0,0
MarcoCecotti,1,1,0,1,1,0
jacoblambert,6,0,2,1,0,1
haoliliang,1,0,1,0,0,0
drwnz,9,2,1,1,1,0
saihideyasu,2,0,1,0,0,0
s-azumi,15,15,0,10,9,1
Tpsych,1,0,1,0,0,0
aicarmark,1,0,0,0,0,0
LukePhairatt,2,0,1,0,0,0
Squigglywave,2,0,1,0,0,0
alexampa,2,0,2,0,0,0
munirfarzeen,1,0,0,0,0,0
yuteno,1,0,0,0,0,0
1L2PGesner,1,0,0,0,0,0
masa1228masa,1,0,1,0,0,0
Mani-Sadhasivam,2,1,2,1,1,0
sumanth-nirmal,21,0,2,0,0,0
francisvac,1,0,0,0,0,0
eratostennis,1,1,0,0,0,0
koenlek,1,0,1,0,0,0
huckl3b3rry87,5,2,2,2,2,0
Tomoya-Sato,1,0,0,0,0,0
abilbaotm,1,0,0,0,0,0
italojs,1,1,0,1,1,0
JWhitleyWork,11,7,3,17,7,10
pronif,1,0,0,0,0,0
gbiggs,21,0,3,0,0,0
TakaHoribe,5,4,0,7,4,3
sgvandijk,2,0,1,0,0,0
isamu-takagi,16,12,2,9,9,0
wep21,15,11,2,3,3,0
0xd1ma,1,0,0,0,0,0
snehagn,3,0,2,0,0,0
golnazhabibi3,1,0,0,0,0,0
EfimiaPanagiotaki-StreetDrone,4,0,2,0,0,0
purewater0901,1,0,0,0,0,0
maximosipov,9,3,0,5,3,2
filiperinaldi,1,1,1,2,1,1
snail333,1,0,0,0,0,0
AbangLZU,1,0,1,0,0,0
kenji-miyake,71,44,10,90,68,22
anilbommareddy,1,0,1,0,0,0
kaspermeck-arm,4,3,1,5,3,2
pre-commit-ci[bot],5,1,2,0,0,0
shmpwk,16,9,1,6,6,0
cjffly,2,0,2,0,0,0
awf-autoware-bot[bot],19,1,3,0,0,0
TZECHIN6,2,0,2,0,0,0
tkhmy,1,1,0,2,2,0
angry-crab,3,2,1,0,0,0
pjj707278870,1,0,1,0,0,0
yukke42,6,6,2,4,4,0
mehmetdogru,1,0,1,0,0,0
Shin-kyoto,2,0,0,0,0,0
maxime-clem,2,2,0,4,1,3
tleyden,1,0,0,0,0,0
YoshiRi,1,1,0,0,0,0
kminoda,1,0,0,0,0,0
urbansound8K,3,0,2,0,0,0
dependabot[bot],8,1,2,3,1,2
xmfcx,19,13,10,51,13,38
aaryanmurgunde,2,0,1,0,0,0
Sharrrrk,4,3,3,4,3,1
Croquembouche,1,1,1,1,1,0
SoohyeokPark-MORAI,1,0,0,0,0,0
Soohyeok-Park,1,0,1,0,0,0
ambroise-arm,1,1,1,3,1,2
vios-fish,1,0,0,0,0,0
plane-li,1,1,0,0,0,0
brkay54,2,2,1,2,2,0
mengmenghu-Alex,1,1,0,0,0,0
xczhanjun,2,0,2,2,0,2
IshitaTakeshi,4,4,1,1,1,0
oguzkaganozt,3,0,1,3,0,3
HansRobo,3,1,3,2,1,1
lexavtanke,4,2,2,3,2,1
AmirInt,2,0,1,1,0,1
badai-nguyen,1,1,0,1,1,0
yta56116,1,0,0,0,0,0
felixf4xu,3,0,2,0,0,0
DeeKayG,1,0,1,0,0,0
david-vay,1,0,0,0,0,0
zulfaqar-azmi-t4,1,0,0,0,0,0
AvinashRamashray,3,0,0,0,0,0
bgilby59,2,0,0,0,0,0
J-xinyu,2,1,1,1,1,0
VRichardJP,8,5,4,7,5,2
lixianqiang,1,0,0,0,0,0
RonaldEnsing,1,0,1,0,0,0
Tester2009,1,0,1,0,0,0
taikitanaka3,2,1,0,1,0,1
KYabuuchi,1,1,0,2,1,1
Naophis,1,1,0,1,1,0
lymcs,2,0,2,0,0,0
Hensbag,1,0,0,0,0,0
soblin,1,1,0,1,1,0
sykwer,2,1,2,0,0,0
ahmeddesokyebrahim,2,2,0,2,2,0
kazuki0824,1,0,1,0,0,0
caiyuexiang,1,1,1,1,1,0
kyoichi-sugahara,1,0,0,1,0,1
rsasaki0109,1,1,1,1,1,0
HongweiSunny,0,0,0,1,0,1
DeniseJames,0,0,0,1,0,1
beetleskin,0,0,0,0,0,0
badguy07,0,0,0,0,0,0
weisongwen,0,0,0,1,0,1
czluck,0,0,0,0,0,0
kargarisaac,0,0,0,3,0,3
hamkuchan,0,0,0,0,0,0
HEGALLIS,0,0,0,0,0,0
lanhaigit,0,0,0,0,0,0
bdholt1,0,0,0,8,0,8
kennedywai,0,0,0,0,0,0
mouryaraj,0,0,0,0,0,0
vtbassmatt,0,0,0,1,0,1
droneboxid,0,0,0,0,0,0
T-Shota,0,0,0,0,0,0
sousou1,0,0,0,0,0,0
rorypeck,0,0,0,0,0,0
allenchen8210,0,0,0,1,0,1
asimonov-hitachi,0,0,0,0,0,0
MTDzi,0,0,0,0,0,0
hadiTab,0,0,0,1,0,1
Mor-harry,0,0,0,1,0,1
wsung1,0,0,0,0,0,0
jokla,0,0,0,1,0,1
hunkyu,0,0,0,0,0,0
javcursor,0,0,0,0,0,0
tekrajchhetri,0,0,0,1,0,1
maximus5684,0,0,0,0,0,0
ubercool2,0,0,0,0,0,0
MouriNaruto,0,0,0,1,0,1
icolwell,0,0,0,0,0,0
lucasjinreal,0,0,0,1,0,1
14212094,0,0,0,0,0,0
zzhh00,0,0,0,0,0,0
patelabhay-12,0,0,0,0,0,0
0x126,0,0,0,0,0,0
BonoloAWF,0,0,0,2,0,2
doganulus,0,0,0,2,0,2
liuXinGangChina,0,0,0,1,0,1
msanchezvicom,0,0,0,0,0,0
jfkkf123,0,0,0,0,0,0
LevieSun,0,0,0,0,0,0
may012345,0,0,0,0,0,0
JianKangEgon,0,0,0,1,1,0
cyn-liu,0,0,0,0,0,0
beginningfan,0,0,0,0,0,0
stale[bot],0,0,0,5,1,4
SakodaShintaro,0,0,0,1,0,1
cho-jang-hyun,0,0,0,1,0,1
jyh3690,0,0,0,0,0,0
guchangjun,0,0,0,0,0,0
yabuta,0,0,0,0,0,0
simon-t4,0,0,0,0,0,0
mdabir1203,0,0,0,1,0,1
tl230419,0,0,0,0,0,0
jspricke,0,0,0,0,0,0
isouf,0,0,0,0,0,0
AhmadAmine998,0,0,0,1,0,1
